route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
5198_117967,218,5198_25045,Cherrywood,741,1,5198_7778195_1912013,5198_540
5198_117967,219,5198_25046,Cherrywood,7170,1,5198_7778195_1912006,5198_538
5198_117967,217,5198_25047,Cherrywood,21071,1,5198_7778195_1912021,5198_539
5198_117967,218,5198_25048,Cherrywood,721,1,5198_7778195_1912005,5198_540
5198_117967,216,5198_25049,Cherrywood,12982,1,5198_7778195_1912021,5198_539
5198_117900,217,5198_2505,Talbot Street,20220,1,5198_7778195_6130001,5198_52
5198_117967,216,5198_25050,Cherrywood,12868,1,5198_7778195_1912001,5198_538
5198_117967,218,5198_25051,Cherrywood,728,1,5198_7778195_1912011,5198_539
5198_117967,217,5198_25052,Cherrywood,20957,1,5198_7778195_1912001,5198_538
5198_117967,219,5198_25053,Cherrywood,7063,1,5198_7778195_1912007,5198_540
5198_117967,216,5198_25054,Cherrywood,12964,1,5198_7778195_1912015,5198_538
5198_117967,217,5198_25055,Cherrywood,21053,1,5198_7778195_1912015,5198_538
5198_117967,219,5198_25056,Cherrywood,7052,1,5198_7778195_1912008,5198_538
5198_117967,216,5198_25057,Cherrywood,12975,1,5198_7778195_1912017,5198_539
5198_117967,217,5198_25058,Cherrywood,21064,1,5198_7778195_1912017,5198_539
5198_117967,218,5198_25059,Cherrywood,743,1,5198_7778195_1912013,5198_540
5198_117900,218,5198_2506,Talbot Street,1167,1,5198_7778195_6130006,5198_54
5198_117968,216,5198_25060,Dun Laoghaire,15228,0,5198_7778195_2925002,5198_541
5198_117968,217,5198_25061,Dun Laoghaire,23317,0,5198_7778195_2925002,5198_541
5198_117968,216,5198_25062,Dun Laoghaire,14248,0,5198_7778195_2925001,5198_541
5198_117968,217,5198_25063,Dun Laoghaire,22337,0,5198_7778195_2925001,5198_541
5198_117968,218,5198_25064,Dun Laoghaire,2564,0,5198_7778195_2925002,5198_542
5198_117968,217,5198_25065,Dun Laoghaire,22053,0,5198_7778195_2925004,5198_541
5198_117968,216,5198_25066,Dun Laoghaire,13964,0,5198_7778195_2925004,5198_541
5198_117968,218,5198_25067,Dun Laoghaire,2508,0,5198_7778195_2925004,5198_541
5198_117968,216,5198_25068,Dun Laoghaire,14953,0,5198_7778195_2925005,5198_541
5198_117968,217,5198_25069,Dun Laoghaire,23042,0,5198_7778195_2925005,5198_541
5198_117900,217,5198_2507,Talbot Street,20395,1,5198_7778195_6130009,5198_52
5198_117968,218,5198_25070,Dun Laoghaire,2472,0,5198_7778195_2925001,5198_541
5198_117968,216,5198_25071,Dun Laoghaire,15230,0,5198_7778195_2925002,5198_541
5198_117968,217,5198_25072,Dun Laoghaire,23319,0,5198_7778195_2925002,5198_541
5198_117968,216,5198_25073,Dun Laoghaire,14233,0,5198_7778195_2925003,5198_541
5198_117968,217,5198_25074,Dun Laoghaire,22322,0,5198_7778195_2925003,5198_541
5198_117968,218,5198_25075,Dun Laoghaire,2581,0,5198_7778195_2925003,5198_542
5198_117968,216,5198_25076,Dun Laoghaire,14999,0,5198_7778195_2925008,5198_541
5198_117968,217,5198_25077,Dun Laoghaire,23088,0,5198_7778195_2925008,5198_541
5198_117968,218,5198_25078,Dun Laoghaire,2566,0,5198_7778195_2925002,5198_541
